ProjectName :CCSES-CT-Universe,,,
,,,
FileType,Total Files Count,Total Lines Count,
370,I00011.icd,44,CCSES-CT-Universe
371,I00020.icd,20,CCSES-CT-Universe
372,I00030.icd,82,CCSES-CT-Universe
373,I00035.icd,11,CCSES-CT-Universe
374,I00040.icd,42,CCSES-CT-Universe
375,I00050.icd,75,CCSES-CT-Universe
376,I00051.icd,85,CCSES-CT-Universe
377,I00060.icd,29,CCSES-CT-Universe
378,I00062.icd,82,CCSES-CT-Universe
379,I00064.icd,40,CCSES-CT-Universe
380,I30002.icd,131,CCSES-CT-Universe
381,I30003.icd,70,CCSES-CT-Universe
382,I30004.icd,660,CCSES-CT-Universe
383,I30005.icd,148,CCSES-CT-Universe
384,I30006.icd,508,CCSES-CT-Universe
385,I77733.icd,86,CCSES-CT-Universe
386,I88000.icd,162,CCSES-CT-Universe
387,I88001.icd,29,CCSES-CT-Universe
388,I88701.icd,85,CCSES-CT-Universe
389,I88702.icd,85,CCSES-CT-Universe
390,I88703.icd,85,CCSES-CT-Universe
391,I88704.icd,85,CCSES-CT-Universe
392,I88705.icd,85,CCSES-CT-Universe
393,I88706.icd,85,CCSES-CT-Universe
394,I88707.icd,85,CCSES-CT-Universe
395,I88708.icd,85,CCSES-CT-Universe
396,I88709.icd,123,CCSES-CT-Universe
397,I88710.icd,85,CCSES-CT-Universe
398,I88711.icd,85,CCSES-CT-Universe
399,I88712.icd,85,CCSES-CT-Universe
400,I88713.icd,85,CCSES-CT-Universe
401,I88714.icd,85,CCSES-CT-Universe
402,I88715.icd,85,CCSES-CT-Universe
403,I88717.icd,85,CCSES-CT-Universe
404,I88718.icd,85,CCSES-CT-Universe
405,I88721.icd,85,CCSES-CT-Universe
406,I88722.icd,85,CCSES-CT-Universe
407,I88724.icd,85,CCSES-CT-Universe
408,I88725.icd,85,CCSES-CT-Universe
409,I88726.icd,85,CCSES-CT-Universe
410,I88727.icd,85,CCSES-CT-Universe
411,I88728.icd,85,CCSES-CT-Universe
412,I88729.icd,123,CCSES-CT-Universe
413,I88730.icd,85,CCSES-CT-Universe
414,I88731.icd,85,CCSES-CT-Universe
415,I88732.icd,85,CCSES-CT-Universe
416,I88733.icd,85,CCSES-CT-Universe
417,I88739.icd,123,CCSES-CT-Universe
418,I88741.icd,85,CCSES-CT-Universe
419,I88742.icd,85,CCSES-CT-Universe
420,I88743.icd,85,CCSES-CT-Universe
421,I88746.icd,85,CCSES-CT-Universe
422,I88747.icd,85,CCSES-CT-Universe
423,I88750.icd,85,CCSES-CT-Universe
424,I88752.icd,85,CCSES-CT-Universe
425,I88753.icd,85,CCSES-CT-Universe
426,I88754.icd,85,CCSES-CT-Universe
427,I88757.icd,85,CCSES-CT-Universe
428,I88760.icd,85,CCSES-CT-Universe
429,I88761.icd,85,CCSES-CT-Universe
430,I88762.icd,85,CCSES-CT-Universe
431,I88763.icd,85,CCSES-CT-Universe
432,I88764.icd,85,CCSES-CT-Universe
433,I88765.icd,88,CCSES-CT-Universe
434,I88766.icd,126,CCSES-CT-Universe
435,I88767.icd,126,CCSES-CT-Universe
436,I88769.icd,126,CCSES-CT-Universe
437,I88770.icd,126,CCSES-CT-Universe
438,I88771.icd,126,CCSES-CT-Universe
439,I88772.icd,85,CCSES-CT-Universe
440,I88780.icd,85,CCSES-CT-Universe
441,I88782.icd,85,CCSES-CT-Universe
442,I88801.icd,91,CCSES-CT-Universe
443,I88802.icd,135,CCSES-CT-Universe
444,I88803.icd,123,CCSES-CT-Universe
445,I88804.icd,123,CCSES-CT-Universe
446,I88805.icd,123,CCSES-CT-Universe
447,I88806.icd,85,CCSES-CT-Universe
448,I88807.icd,123,CCSES-CT-Universe
449,I88808.icd,123,CCSES-CT-Universe
450,I88809.icd,155,CCSES-CT-Universe
451,I88810.icd,85,CCSES-CT-Universe
452,I88811.icd,130,CCSES-CT-Universe
453,I88812.icd,123,CCSES-CT-Universe
454,I88813.icd,123,CCSES-CT-Universe
455,I88814.icd,123,CCSES-CT-Universe
456,I88815.icd,123,CCSES-CT-Universe
457,I88817.icd,122,CCSES-CT-Universe
458,I88818.icd,85,CCSES-CT-Universe
459,I88819.icd,85,CCSES-CT-Universe
460,I88820.icd,85,CCSES-CT-Universe
461,I88821.icd,123,CCSES-CT-Universe
462,I88822.icd,85,CCSES-CT-Universe
463,I88824.icd,126,CCSES-CT-Universe
464,I88825.icd,126,CCSES-CT-Universe
465,I88826.icd,126,CCSES-CT-Universe
466,I88827.icd,126,CCSES-CT-Universe
467,I88828.icd,85,CCSES-CT-Universe
468,I88829.icd,85,CCSES-CT-Universe
469,I88830.icd,85,CCSES-CT-Universe
470,I88831.icd,123,CCSES-CT-Universe
471,I88832.icd,85,CCSES-CT-Universe
472,I88833.icd,127,CCSES-CT-Universe
473,I88834.icd,85,CCSES-CT-Universe
474,I88835.icd,85,CCSES-CT-Universe
